source,target,weight,cost
A. Anderson,D. Anderson,7,0.14285714285714285
A. Anderson,O. Harrington,2,0.5
A. Anderson,R. Felton,2,0.5
A. Anderson,W. Herrmann,7,0.14285714285714285
A. Antetokounmpo,T. Antetokounmpo,2,0.5
A. Brown,A. Morrison,2,0.5
A. Brown,C. Jacobsen,2,0.5
A. Brown,M. Conley,5,0.2
A. Edwards,D. DiVincenzo,23,0.043478260869565216
A. Edwards,J. Clark,5,0.2
A. Edwards,J. McDaniels,14,0.07142857142857142
A. Edwards,J. Randle,23,0.043478260869565216
A. Edwards,L. Garza,5,0.2
A. Edwards,M. Conley,14,0.07142857142857142
A. Edwards,N. Alexander-Walker,14,0.07142857142857142
A. Edwards,N. Reid,18,0.05555555555555555
A. Edwards,R. Gobert,6,0.16666666666666666
A. Edwards,T. Shannon Jr.,12,0.08333333333333333
A. Gordon,A. Nicholson,2,0.5
A. Gordon,B. Gordon,3,0.3333333333333333
A. Gordon,C. Frye,3,0.3333333333333333
A. Gordon,E. Fournier,6,0.16666666666666666
A. Gordon,K. O'Quinn,2,0.5
A. Gordon,M. Harkless,2,0.5
A. Gordon,N. Vucevic,8,0.125
A. Gordon,T. Harris,9,0.1111111111111111
A. Gordon,V. Oladipo,18,0.05555555555555555
A. Gordon,W. Green,12,0.08333333333333333
A. Holiday,A. Brimah,6,0.16666666666666666
A. Holiday,A. Griffin,35,0.02857142857142857
A. Holiday,A. Johnson,5,0.2
A. Holiday,B. Bogdanovic,3,0.3333333333333333
A. Holiday,C. LeVert,13,0.07692307692307693
A. Holiday,C. Stanley,7,0.14285714285714285
A. Holiday,D. Hunter,7,0.14285714285714285
A. Holiday,D. McDermott,80,0.0125
A. Holiday,D. Murray,7,0.14285714285714285
A. Holiday,D. Sabonis,104,0.009615384615384616
A. Holiday,E. Sumner,44,0.022727272727272728
A. Holiday,F. Kaminsky,17,0.058823529411764705
A. Holiday,G. Bitadze,45,0.022222222222222223
A. Holiday,J. Collins,13,0.07692307692307693
A. Holiday,J. Holiday,114,0.008771929824561403
A. Holiday,J. Johnson,20,0.05
A. Holiday,J. Lamb,58,0.017241379310344827
A. Holiday,J. Sampson,22,0.045454545454545456
A. Holiday,K. Martin,12,0.08333333333333333
A. Holiday,M. Brogdon,25,0.04
A. Holiday,M. Turner,134,0.007462686567164179
A. Holiday,N. Mitrou-Long,3,0.3333333333333333
A. Holiday,O. Brissett,19,0.05263157894736842
A. Holiday,O. Okongwu,14,0.07142857142857142
A. Holiday,T. Leaf,2,0.5
A. Holiday,T. Martin,2,0.5
A. Holiday,T. McConnell,40,0.025
A. Holiday,T. Warren,131,0.007633587786259542
A. Holiday,T. Young,12,0.08333333333333333
A. Holiday,V. Krejci,5,0.2
A. Holiday,V. Oladipo,7,0.14285714285714285
A. Johnson,A. Anderson,5,0.2
A. Johnson,A. Bargnani,17,0.058823529411764705
A. Johnson,A. Gill,3,0.3333333333333333
A. Johnson,A. Gray,4,0.25
A. Johnson,A. Horford,68,0.014705882352941176
A. Johnson,B. Brown,2,0.5
A. Johnson,C. Chiozza,3,0.3333333333333333
A. Johnson,D. DeRozan,108,0.009259259259259259
A. Johnson,D. Jordan,2,0.5
A. Johnson,E. Barron,2,0.5
A. Johnson,E. Davis,34,0.029411764705882353
A. Johnson,G. Forbes,2,0.5
A. Johnson,G. Vasquez,14,0.07142857142857142
A. Johnson,J. Bayless,10,0.1
A. Johnson,J. Calderon,49,0.02040816326530612
A. Johnson,J. Champagnie,2,0.5
A. Johnson,J. Childress,33,0.030303030303030304
A. Johnson,J. Dentmon,2,0.5
A. Johnson,J. Green,3,0.3333333333333333
A. Johnson,J. Johnson,133,0.007518796992481203
A. Johnson,J. Smith,124,0.008064516129032258
A. Johnson,J. Valanciunas,42,0.023809523809523808
A. Johnson,J. Wright,2,0.5
A. Johnson,K. Durant,5,0.2
A. Johnson,K. Lowry,61,0.01639344262295082
A. Johnson,L. Babbitt,5,0.2
A. Johnson,L. Barbosa,8,0.125
A. Johnson,L. Fields,2,0.5
A. Johnson,L. Kleiza,4,0.25
A. Johnson,L. Williams,9,0.1111111111111111
A. Johnson,M. Bagley III,4,0.25
A. Johnson,M. Branham,8,0.125
A. Johnson,M. West,4,0.25
A. Johnson,M. Williams,98,0.01020408163265306
A. Johnson,N. Batum,2,0.5
A. Johnson,P. Mills,3,0.3333333333333333
A. Johnson,P. Patterson,13,0.07692307692307693
A. Johnson,R. Butler,16,0.0625
A. Johnson,R. Fernandez,3,0.3333333333333333
A. Johnson,S. Alabi,2,0.5
A. Johnson,S. Stoudamire,3,0.3333333333333333
A. Johnson,S. Weems,8,0.125
A. Johnson,S. Williams,6,0.16666666666666666
A. Johnson,T. Johnson,3,0.3333333333333333
A. Johnson,T. Jones,3,0.3333333333333333
A. Johnson,T. Lue,5,0.2
A. Johnson,T. Luwawu-Cabarrot,8,0.125
A. Johnson,T. Ross,33,0.030303030303030304
A. Johnson,T. Vukcevic,7,0.14285714285714285
A. Johnson,W. Riley,6,0.16666666666666666
A. Johnson,Z. Pachulia,8,0.125
A. Miller,A. Harrington,54,0.018518518518518517
A. Miller,A. Iguodala,34,0.029411764705882353
A. Miller,A. Payne,3,0.3333333333333333
A. Miller,A. Randolph,16,0.0625
A. Miller,A. Wiggins,3,0.3333333333333333
A. Miller,B. Beal,66,0.015151515151515152
A. Miller,B. Diaw,2,0.5
A. Miller,B. Marjanovic,2,0.5
A. Miller,B. McLemore,19,0.05263157894736842
